id,name,x,y,z,visibility,frame
11,left shoulder,0.1443580985069275,-0.472795695066452,-0.015094621106982231,0.9999071359634399,0
12,right shoulder,-0.14877630770206451,-0.4819892644882202,-0.1360776424407959,0.999984860420227,0
13,left elbow,0.2173936367034912,-0.29339393973350525,-0.11199331283569336,0.9642062783241272,0
14,right elbow,-0.27138984203338623,-0.2708668112754822,-0.23368579149246216,0.9965338706970215,0
15,left wrist,0.263808012008667,-0.44708144664764404,-0.337177038192749,0.9834955334663391,0
16,right wrist,-0.2572283148765564,-0.4047333598136902,-0.4196568727493286,0.9973769187927246,0
23,left hip,0.10246776044368744,-0.005663570482283831,0.045262813568115234,0.9994475245475769,0
24,right hip,-0.10239513218402863,0.005101361311972141,-0.04459953308105469,0.9997313618659973,0
25,left knee,0.16002188622951508,0.38669392466545105,0.042874932289123535,0.9892510175704956,0
26,right knee,-0.1262540966272354,0.4069401025772095,-0.06234648823738098,0.9960401058197021,0
27,left ankle,0.18191957473754883,0.7231782674789429,0.17672967910766602,0.9876235723495483,0
28,right ankle,-0.15974991023540497,0.7578348517417908,0.015326499938964844,0.9969424605369568,0
29,left heel,0.1928780972957611,0.7684123516082764,0.18103456497192383,0.9538405537605286,0
30,right heel,-0.16470496356487274,0.8033393621444702,0.014381885528564453,0.9479452967643738,0
31,left foot index,0.29844391345977783,0.831819474697113,0.10113859176635742,0.9869347810745239,0
32,right foot index,-0.15575891733169556,0.870390772819519,-0.10212850570678711,0.9928701519966125,0
11,left shoulder,0.13475613296031952,-0.4744906723499298,-0.02181139960885048,0.9998930096626282,1
12,right shoulder,-0.15432964265346527,-0.48347151279449463,-0.1396179348230362,0.9999837875366211,1
13,left elbow,0.20747360587120056,-0.30023184418678284,-0.11134746670722961,0.9632121920585632,1
14,right elbow,-0.2736649513244629,-0.2856035530567169,-0.2376701980829239,0.9963520765304565,1
15,left wrist,0.2535233497619629,-0.447695255279541,-0.3264629542827606,0.9835197925567627,1
16,right wrist,-0.25933218002319336,-0.4048430025577545,-0.4235529899597168,0.9971970319747925,1
23,left hip,0.10246093571186066,-0.005668853875249624,0.04516541212797165,0.999384880065918,1
24,right hip,-0.10239484161138535,0.005104432348161936,-0.04446548968553543,0.999716579914093,1
25,left knee,0.13960061967372894,0.3933359384536743,0.07395698130130768,0.988413393497467,1
26,right knee,-0.1267547458410263,0.40277382731437683,-0.06249677762389183,0.9958155751228333,1
27,left ankle,0.16994620859622955,0.7244545817375183,0.21837984025478363,0.9866644740104675,1
28,right ankle,-0.1645614206790924,0.7509514689445496,0.015966366976499557,0.996254563331604,1
29,left heel,0.18255580961704254,0.7691793441772461,0.22475796937942505,0.9517871141433716,1
30,right heel,-0.16956396400928497,0.7963520884513855,0.01543542928993702,0.9406954050064087,1
31,left foot index,0.28161707520484924,0.8310360312461853,0.14247779548168182,0.985714852809906,1
32,right foot index,-0.159882590174675,0.8661765456199646,-0.10217279195785522,0.9915773868560791,1
11,left shoulder,0.13622283935546875,-0.47712960839271545,-0.0229280274361372,0.9998767971992493,2
12,right shoulder,-0.1507323831319809,-0.4839169383049011,-0.1396600753068924,0.9999807476997375,2
13,left elbow,0.20784735679626465,-0.30328330397605896,-0.10293920338153839,0.9616296887397766,2
14,right elbow,-0.2701794505119324,-0.28876587748527527,-0.23907409608364105,0.9960905909538269,2
15,left wrist,0.25358155369758606,-0.4490011930465698,-0.29345953464508057,0.9832364916801453,2
16,right wrist,-0.2574782371520996,-0.4048328995704651,-0.42406415939331055,0.9969529509544373,2
23,left hip,0.10250890254974365,-0.005538747645914555,0.044626932591199875,0.9993515014648438,2
24,right hip,-0.10247237235307693,0.004966364242136478,-0.04387744516134262,0.999697744846344,2
25,left knee,0.1334494650363922,0.3955402970314026,0.08056548982858658,0.988011360168457,2
26,right knee,-0.12660641968250275,0.39938080310821533,-0.04483945295214653,0.995579719543457,2
27,left ankle,0.1628309041261673,0.7225586771965027,0.2557311952114105,0.9858161211013794,2
28,right ankle,-0.16191473603248596,0.7351509928703308,0.07221154123544693,0.9954289793968201,2
29,left heel,0.17569081485271454,0.7664362192153931,0.265746533870697,0.9497219920158386,2
30,right heel,-0.16617333889007568,0.7797755599021912,0.07693301886320114,0.9332947731018066,2
31,left foot index,0.26889297366142273,0.8272539973258972,0.18345734477043152,0.9842649698257446,2
32,right foot index,-0.1549614667892456,0.8521978259086609,-0.04019742086529732,0.9898771643638611,2
11,left shoulder,0.13635112345218658,-0.4789261519908905,-0.011557097546756268,0.9998641014099121,3
12,right shoulder,-0.14587059617042542,-0.484203577041626,-0.13573181629180908,0.9999770522117615,3
13,left elbow,0.21898140013217926,-0.3057512640953064,-0.07937972992658615,0.9603086709976196,3
14,right elbow,-0.26783832907676697,-0.29022830724716187,-0.23903419077396393,0.9961072206497192,3
15,left wrist,0.2765670418739319,-0.44897520542144775,-0.25859907269477844,0.983047604560852,3
16,right wrist,-0.2553922235965729,-0.40624651312828064,-0.41126731038093567,0.996955394744873,3
23,left hip,0.10248364508152008,-0.005533676128834486,0.04560938850045204,0.9993444085121155,3
24,right hip,-0.1024593785405159,0.004960879683494568,-0.044805943965911865,0.9996570348739624,3
25,left knee,0.15282340347766876,0.37094220519065857,0.0007134320912882686,0.9874431490898132,3
26,right knee,-0.12652947008609772,0.39921507239341736,-0.050324514508247375,0.9950558543205261,3
27,left ankle,0.16379238665103912,0.6975459456443787,0.16439233720302582,0.9846692085266113,3
28,right ankle,-0.16190171241760254,0.7329860329627991,0.06095355749130249,0.9941889643669128,3
