frame,left_knee_3D,left_knee_top,left_knee_side,left_knee_front,right_knee_3D,right_knee_top,right_knee_side,right_knee_front,left_elbow_3D,left_elbow_top,left_elbow_side,left_elbow_front,right_elbow_3D,right_elbow_top,right_elbow_side,right_elbow_front,left_shoulder_3D,left_shoulder_top,left_shoulder_side,left_shoulder_front,right_shoulder_3D,right_shoulder_top,right_shoulder_side,right_shoulder_front,left_hip_3D,left_hip_top,left_hip_side,left_hip_front,right_hip_3D,right_hip_top,right_hip_side,right_hip_front,label
10,126.1083282697547,168.18633054357153,3.1546075773485667,126.75101036468381,129.95393481071335,175.25974114638305,3.316550744852974,130.06762678549393,110.64169641362705,108.68708581960121,114.94286843393697,119.00167957112498,119.90687516694706,116.22755028000338,127.0508800569252,129.01481537408864,100.89149706790202,101.19590706915184,129.3794924028838,27.961818479451217,101.23118275714668,101.95859325943024,119.71690000771856,145.23719642040004,133.19347336780731,163.8444839073768,55.447240335097476,135.0741976545998,142.65561566132877,171.49943963116309,116.74517342479454,143.39287142998052,correct
11,120.29772558575748,165.55659776603585,1.4790764159877583,121.00388014578655,123.88110757607441,172.71548512952754,1.0625452046649377,124.10137154323641,104.37606049862389,85.28285178477454,122.36626561827318,112.70327584727474,112.80772266771942,91.47150487851232,128.34189569545845,122.74806149889625,100.54025056544653,101.14896496858863,119.44410440831571,28.126373551852385,101.59248549063398,102.81361342078661,115.4042539276119,145.52935580106683,126.3419527932485,161.24418109541554,58.16238788453225,128.1986250276392,136.28600829185626,170.2462824090797,122.77984017113658,136.97192483482107,correct
12,114.49613636684404,162.6500386480464,5.93524307997988,115.19286352489283,117.71985792665865,169.28812380935634,6.296588788978476,118.07624083682083,98.76146587418411,64.42431266173533,126.14616705087337,106.77096379546097,105.8038990726863,67.84911133944864,128.3630055867952,115.8403614020245,100.14614406932783,101.22756000761686,112.46833758227734,18.515250272378193,101.81861472043012,103.66736256414835,112.33027796059997,156.49866898406282,119.42624026898667,158.23609884252863,60.57156365897365,121.18805465373859,129.4363244611953,168.079381709062,126.68800510314483,130.10137072231024,correct
13,108.8766162253136,158.9467314772267,11.039726146493647,109.52546831895336,111.65911138941294,164.66711504110904,12.052108522372441,112.15271034082939,94.17701498506678,50.14689672449499,127.36215109685104,101.5121743340929,99.55487112321472,50.493657327833944,127.48678045502315,109.19319920646869,99.6188256838291,101.34842421552793,107.55628232491361,178.64006154868795,101.93025752215539,104.59366538444529,109.87859242107886,4.727510780057518,112.60334184487233,154.4469167304726,62.593015422954956,114.2182797519288,122.26035646960074,164.4814306362071,128.35565875815803,122.91976985188619,correct
14,103.4231876002191,153.3829839133682,18.210192212691126,104.01489838278272,105.96397914811295,157.94629485459458,18.64193854452066,106.56973205699363,90.75872218454829,41.28140641493263,126.74259683148733,97.18395756348839,94.04766452643753,38.83572341536303,125.1984442261798,103.18100379702054,98.88324701039394,101.4036896746871,103.88863590907877,124.67206115319927,102.19344122592422,105.92542287847176,108.3086274732573,56.89526282316817,105.88771900165526,148.96729311986707,64.21342134554357,107.31616142686723,114.92613135401791,158.3791094481897,127.02534858958221,115.59315301124866,correct
15,98.19233898483036,143.19788293989257,28.9014108580864,98.73337414222475,100.72989814124826,147.4182900519577,28.32529529617942,101.41397938575282,88.49624171119214,35.7796463218883,124.88401088177706,93.92921142062444,89.40079600213957,30.737935114270808,121.71992464239678,98.0551656654618,98.00080746430335,101.39437307763713,101.09641439521128,44.22114556401359,102.53523349502244,107.6705587885371,107.24720820911644,135.73955816016118,99.27985466671387,139.0299633698481,65.11443897769738,100.52291609860038,107.73218564906803,148.11217166374837,122.82536657110754,108.4117158921623,correct
16,93.19507090467214,121.7715751273692,46.806758265224865,93.6949021882916,95.8991150225105,129.69567080602528,43.76278101294547,96.61934855104987,86.86401586884557,32.37540195808104,121.77467238474962,91.26415922253067,85.44755590891573,24.517043660843164,117.0867391196472,93.72463592188224,96.99545397684547,101.26533610822791,98.853696156591,141.97443648042582,102.99445204216647,109.95039725253461,106.64437224629746,39.47465750679524,92.80136973891044,118.01253848440201,65.45707297742663,93.86924615315161,100.83002302004905,130.33186196767312,117.11273531322954,101.52393281600112,correct
17,88.41233010098703,81.80982755352139,74.5710954809355,88.8658215684321,91.41161954185621,101.60190691133425,67.8526041629056,92.13728985707002,85.58541499667774,30.514925037983932,117.21224861213304,88.98666658218964,81.95649250261583,19.208602547133488,111.67487509024052,89.86564479527203,95.9726037215827,101.10853945665731,97.04790633781974,40.04178714811297,103.502557155004,112.63776750010861,106.36742824702043,142.91627196504373,86.4125222842336,78.56854876536532,64.77764640468271,87.3073602424455,94.277190287103,101.94994994268667,110.75804667705886,94.99305927709239,correct
18,83.91827985545012,47.38194417447606,105.0109057743006,84.32424192946932,87.1324297943069,70.09391315243606,93.6309028983032,87.8336763023638,84.10932206012191,29.480003778843198,111.11250347970963,86.45022822847915,78.95340860507268,14.473024316952348,105.69660585912361,86.5275800250032,95.02847530008839,101.02714387218776,95.63197411271057,26.841534058996114,103.97793095273902,115.6716281429306,106.22379211638776,148.81042157643114,80.25668776100393,44.73193550923714,63.187323867654875,80.98757865373194,88.10950000518973,69.97443067268648,105.83578528294187,88.85354182909582,correct
19,79.70768280938887,30.768902313727263,125.38082875122964,80.06204138819608,82.92835708207468,47.100757314274574,112.64654599095039,83.57776958511377,82.25498206791396,28.80994727134776,103.67482183608831,83.47983283172087,76.26255865328429,10.238622601380893,99.45946735115639,83.45941090459394,94.261348092981,101.23630249024421,94.59554698086166,157.97162715430716,104.35099084801642,118.78771562914889,106.12429253047075,27.750122102857283,74.49349180679287,28.74980365752714,61.06463804406206,75.06462218897158,82.13900234124979,46.41077628220666,102.08139288427992,82.90320767211755,correct
20,75.86982568041931,22.432199601041322,136.59039859493961,76.17002795712561,78.79270151858364,33.352086492364705,124.45880572389494,79.37595508624759,80.16035836145954,28.13040559088195,95.77999273363811,80.25707571928092,73.88418643088045,6.412279411110652,93.10146057859434,80.69519956234832,93.674639294201,101.8365066420678,93.85981454967092,17.84487082698587,104.61853495161257,121.99927880858176,106.0149471973022,155.32816116051507,69.28536348127662,21.050675622242267,58.07315853098308,69.69981786680052,76.32994135249531,32.023514434789135,98.70665887961805,77.10936736634838,correct
21,72.35719909593305,17.416965206906124,142.45277584703058,72.61660088670004,74.76115855293025,25.153034855580604,132.07101799508223,75.26946902439627,77.99034835051147,27.23386599619025,88.25965615793375,77.00275653446634,71.79519783842811,2.9239295162634593,87.00262386708668,78.21299350379849,93.2229806184945,102.81697238307059,93.32625817533192,135.03020576937,104.79489985968485,125.20897559470308,105.89793110917489,37.320207951010204,64.70933446993935,16.684507001468937,55.4649842794406,64.98604803255988,70.686250274534,23.218835254608106,95.56313820387729,71.46151518318524,correct
22,69.1997231378953,14.080223383248333,145.7291817137953,69.42593948677288,70.99641473422606,20.200197589975172,136.2362543595585,71.45155158306186,76.08490991917243,25.718685405574128,81.88242207181138,74.23133156519705,70.07337691580608,0.09609885319614239,81.5878445756949,76.09290967726851,92.93273545249171,104.49189767683865,92.99199306772107,89.52107754186325,104.84559771695544,128.23624978521588,105.72014551989734,82.25371752517894,60.78926696423503,13.942461224995625,52.744587544694866,60.95126598822835,65.38660660201157,17.839199556119564,91.97277708604602,66.14682089242508,correct
23,66.45333568270382,11.710613476472762,147.55171692630591,66.65928553008068,67.58516726930264,17.226300503156683,137.94839108886794,68.01438110457713,74.56984872596998,23.554723676589507,76.80441897681106,72.0704403416072,68.75215474242944,2.8867660176487124,77.03606071921763,74.41750088795274,92.70148184341798,106.71372562172571,92.73541422282305,9.040820038976403,104.82847252302722,131.19703022154144,105.52269076319945,162.39547123468503,57.50178614760996,12.085584863541625,50.708547797929405,57.579562770245886,60.572735302766525,14.702108923130364,88.26564969336614,61.306353614590485,correct
24,64.12407015885482,9.921818327873941,148.5924523801357,64.31736353245374,64.70705956176033,15.573143548883362,137.9566497279996,65.13553291921974,73.50039753481143,21.0868666083416,72.9830703136839,70.50930493371929,67.82325456638436,5.530573633763517,73.5760290184111,73.30835867103585,92.46247576433892,109.25300836326797,92.48133279397071,172.92745015753698,104.91357809304513,134.12169963699813,105.48182227883763,15.939748172946729,54.846333281575816,10.737123286778539,49.39167210785069,54.86387244719725,56.43259949711085,13.0900145509019,84.36179536102709,57.13731164882003,correct
25,62.308670603960984,8.737122168505277,148.7288073663305,62.50027062026785,62.49567187374688,14.683996094250444,137.21681492488185,62.931090331176044,72.89583270432885,18.205643643306974,70.3993644975576,69.62661174658156,67.2025192357249,7.938620850321778,71.06586632409628,72.65209436279731,92.2510415554255,112.03335323742806,92.26172433766922,84.4261499924708,105.08423380172968,136.86769633034663,105.5652667160486,104.62565894143017,52.849127391662385,9.892494916475478,48.8138678788495,52.830525139811975,53.25550949643341,12.370174546682941,81.07463807285296,53.92087564511526,correct
26,61.12201751685254,7.984195113617657,148.08835959956753,61.32216964803572,61.08133370993148,14.37496835215603,136.7132285804478,61.51237602714127,72.59872760857972,15.571832226835305,68.76350553186745,69.15429522539098,66.81406898373044,10.170022473830198,69.35693235369529,72.44373885510967,92.05755860929649,114.55929613457099,92.06394139886451,71.8766815398569,105.45046574778766,139.51749621011487,105.87692007899817,117.2598435911368,51.63001502162618,9.383969795722344,49.311977197164595,51.597549605085256,51.15858965818263,12.218852201065111,78.81636439702322,51.778244054425414,correct
27,60.69327688337095,7.818346086454368,146.2738089069752,60.91967635116211,60.563593277924,14.248126168783662,137.70457899754265,60.95109638963844,72.60971805344579,12.024514563116547,68.14868672644094,69.2398491662156,66.696369494393,11.96685317538463,68.31786227541514,72.54422036834826,92.1053449929184,118.06054752430936,92.11036476724789,176.04557908081864,105.75689282642657,141.802473776689,106.13945082151302,12.827560964580192,51.24432295888509,9.310601193252475,51.36146310713362,51.225304439218895,50.36149335339964,12.141893740302049,78.58073554512698,50.92531916889841,correct
28,61.16984760558157,8.011416690922943,143.590909621211,61.441738165467925,61.11957654281209,14.546725762180065,140.37814898370127,61.42240160645525,72.77900415602927,9.240382074242211,68.33101764070943,69.66282711211872,66.86694082334498,13.470857005123316,67.95409951289541,73.0546108786013,92.33925997166239,120.77261812993208,92.34477784821344,3.933686234463234,106.09624375931602,143.81425078631077,106.44745224040285,167.81394897683043,51.824285290431355,9.482314579412147,53.999258181771644,51.84979540143421,51.01761312042285,12.287611169976584,80.1499010078978,51.53517441487726,correct
29,62.58324698400862,8.712108191733442,140.58882291761074,62.91659240350435,62.74941920282819,15.093934029348567,144.59077124014647,62.952756151401026,73.15793209660823,7.264644931194129,69.38636936491156,70.50657867855739,67.43264637941216,14.306863672474705,68.47401628212168,73.96674458447754,92.82486762676452,122.82425193594993,92.83315531360333,77.44177858642712,106.28427716252192,144.97783865551784,106.61737306062616,95.13251418179262,53.34952475815895,10.038212841905798,56.37436673598162,53.44497370244247,53.0827647618672,12.549087321975414,83.53055208203484,53.56838039499111,correct
30,64.91697946676297,9.796766608817824,138.22625214998914,65.31208353171144,65.53512788221371,16.27251704464712,149.10306128028705,65.66004882128797,73.77421217868545,7.232938008193282,71.2984315368493,71.72153848961474,68.44161980421146,14.496270733951244,70.09667874545748,75.49221509060457,93.41149332586643,123.00319171455922,93.4259199960517,174.73377381776262,106.51521771128348,145.21721071955122,106.85667447827011,11.884677163061369,55.787729938961206,10.889373936340627,57.721815040928824,55.9666821052992,56.51355606067321,13.37948565285901,87.36079997353261,56.994601320146565,correct
31,68.0385698087705,11.417029018242156,136.30259032283362,68.49492229843659,69.33068833795977,18.31639499292035,153.8188036167084,69.39406955002661,74.71920021740735,8.08888983539715,74.22541664328399,73.49611346590825,70.03554153866281,14.119234553108562,73.10417971981761,77.86637431902611,94.15524578008237,122.36959981992204,94.1827119166992,80.7349402693761,106.87181472193657,144.61651159285597,107.25357470568265,105.12292365693322,59.085408230632716,12.237716478390242,58.99966328351776,59.353921406157845,61.10317442876204,15.029925472563745,91.29066045896394,61.59752574716361,correct
32,71.81627928820379,13.858833898559325,135.09854498417766,72.31212601500458,73.9604925928436,21.74973550945343,157.73510398984953,73.99829239909343,76.06427781757496,9.021303032011089,78.27251221062897,76.01668222019582,72.16669962972072,12.994137044628147,77.6374514529659,81.03250661111619,95.15345216739169,121.94304743122747,95.20792867875933,171.68294177777372,107.40659839179393,143.09569801362528,107.87836326613265,13.616669738568687,63.18923197132249,14.36939849363136,59.74552734719904,63.53475400944085,66.60352546104231,18.074654917609152,94.25623244085686,67.14085959065787,correct
33,76.13124791556145,17.648861522583026,134.5184804051998,76.6392545235598,79.14149068676666,27.58577473363144,160.6583752195834,79.18531103381157,77.83356344729658,10.076866999586702,83.27874909285228,79.38073525259898,74.83598930708084,11.232246056942829,83.6301621350997,84.95934096322846,96.3978547577489,121.78596144474935,96.50432408856325,10.424881148094627,108.12379412756364,140.97418407858555,108.75103268540676,164.61553158047622,67.99808604152486,17.78397637224081,60.552110772481626,68.40594166054363,72.69832143190455,23.579715617992722,96.57359653512779,73.30063714464255,correct
34,80.90173477883711,24.517725710423196,133.77809453157192,81.41188525024374,84.54987063919947,37.68843413604605,163.5909189559139,84.60587259449096,80.02983990048732,11.116569768061414,89.03528867538407,83.84632042221938,78.10096907656612,8.747034409535827,90.61313977940873,89.67083541943197,98.04888968108534,122.12262819932332,98.25826588040093,98.54929874199769,108.89272629793943,138.61794516231808,109.74514375539333,76.91763581243546,73.40986346829727,24.178628125533834,61.6407677803584,73.88316171262639,79.11715536346402,33.40905216611667,99.09710980147113,79.7756509664198,correct
35,86.15261310518117,38.606677045736234,132.596749221483,86.66574175790986,90.0245756856971,57.64035382783028,167.83852795579742,90.07565117983548,82.5397376720055,12.586712821007355,94.93986157066716,89.22866636770833,81.89395722929447,5.408193760663489,97.86689038599103,94.97188575150874,99.97892684207689,122.41280893355362,100.37698605739054,163.91206242667988,109.5776081533057,136.00776330368998,110.73983676919109,20.08098382567864,79.35235851171294,37.686662678904874,63.293595698511155,79.90730571004066,85.71176429375038,53.13637889457796,102.64205232253065,86.39132695192401,correct
36,91.82927870439521,71.7564130550253,130.79347953896664,92.34300079333234,95.62848786191725,97.70713982809086,173.35305568821906,95.66870590524739,85.42203148877424,15.28231969947504,100.67857560825553,95.30259101656094,86.29982982827491,1.1967021941412133,105.07677395835373,100.8644573231283,101.89071411619253,122.00373494818898,102.60617007014339,74.77760349782595,110.21145018203894,133.13684086428088,111.81886110112909,108.66869293814463,85.71864022123486,70.16417951615134,65.01167492451025,86.36817626838155,92.46940343505761,93.09307259398553,106.51843686813942,93.13874623688326,correct
37,97.92446376163731,120.42014412631912,127.01230464977199,98.47014825330771,101.36656878172141,138.31882615612403,177.3740977697262,101.37900419121658,88.8997843543359,19.11942927822658,106.2856913028858,102.06097741591886,91.50031578052463,4.392354101577014,111.96984845964853,107.23339191046237,103.71199397218967,121.02534383756247,104.94645458350364,23.93312902832113,110.49606722389446,129.81665015540682,112.69488249603913,153.35947477862712,92.44296962150793,118.09211955868025,66.49978599447266,93.23793966903824,99.4589815739157,133.7444628808909,111.81195279039439,100.05664563877588,correct
38,104.3212893954116,145.80337783169702,121.00739813330816,104.90858468254925,107.4471984158435,158.66212167923788,162.37282785400626,107.43336833834059,93.00200040871516,24.46981837634655,111.34905596150212,109.06233067140485,97.35413617685319,11.330863024830839,118.22865972861133,113.76099012325228,105.23806635065955,119.57876245208433,107.24987632148925,47.70445665343448,110.67028674233723,126.39074420589152,113.71012111529737,134.4045075091635,99.46460132238246,142.8297662341056,67.20824122278448,100.42081307980662,106.74091981389506,154.1278049623436,116.40997175733861,107.25874945218231,correct
39,110.8697794131794,156.529125038543,111.28974397592665,111.50843446517828,113.7012845794884,168.37557089796593,135.80352963386255,113.66892262796891,98.00154089338137,31.919955812721483,115.83311503884379,116.34510154875413,103.83285586212115,20.819782306213018,123.58585166355668,120.27506553985206,106.47906907359962,117.93882310605554,109.61664364369871,37.12682066571369,110.60255872318784,122.96197134243609,114.76683217321097,144.4010962486876,106.69762707693866,153.0592702353696,66.92225594454546,107.82947735133429,114.20453896537579,163.82255732007388,119.66711851094966,114.64740026843064,correct
40,117.49575714687643,162.08035278617385,98.44407830953969,118.17471885911674,120.18100050554608,173.5434492474914,99.75199995565158,120.14042818002585,104.01390921831157,42.675018635871496,119.6319638316637,123.70248380836712,110.71700860110798,35.28886483648386,127.76005185518919,126.67529674303056,107.35614028077835,116.24880149428701,112.00181093204517,42.66401508825336,110.32114076953567,119.7609788256229,115.92166908177481,138.3698609705214,114.00947398684809,158.2830144158113,65.87214780745963,115.30089901079006,121.75643943290758,168.79376710365477,120.59319094398697,122.15582540755469,correct
41,124.20277718178056,165.83217033488276,83.59587936508419,124.86979335056141,126.75023226965567,176.46773110867176,76.98019240418438,126.7097108216817,110.93132453966804,58.71695163325612,122.60600616901202,130.9460126571205,117.8843169587481,59.33622176047956,130.68455149681822,133.10944232437996,107.95231299706892,114.69745302341661,114.53828655094952,37.644825524892184,109.85513602100067,116.907238555692,117.2006942536749,142.92755071895843,121.37402596334243,161.78992298948197,64.70747318959761,122.76384738317785,129.09405300006296,171.29062038476536,119.56750597717125,129.49361263107753,correct
42,131.0121180517685,168.91448933981746,64.94795973794822,131.59581709667626,133.51114211465477,178.23892987915576,67.89447321919647,133.47602048544314,118.51076654171918,81.51415829668699,124.73208294374199,137.92544712728224,125.36387672726505,92.90484947542002,132.87254925316486,139.55106001994133,108.30005343550964,113.32317531831247,117.27054421504727,134.7354697181122,109.06121318732419,114.18821985780042,118.4029905887102,45.06953297384142,128.73358233542947,164.57499046791915,63.71166508261454,130.15178024217,136.27498309679322,172.48170994065092,117.5178953413278,136.72054875638696,correct
43,137.79901117495282,171.93893621964452,28.31033954315461,138.20598796004117,140.50857952294567,179.3382377358664,72.47344261113328,140.48240610604233,126.49939825352298,107.09945145725248,126.31539941230862,144.54909477037086,132.85439314442027,122.05057761933173,134.70475135207457,145.48054728299448,108.26213892320222,111.92591437812366,119.95195908434458,23.024704767060655,107.94414706064572,111.49886456643048,119.63554720108293,157.21376441209864,135.9426984578856,167.10647713578516,63.34795588302108,137.2965946058121,143.06155855117925,172.9660828641659,114.9794529461799,143.60102812339335,correct
44,144.5343762084774,174.82788193539582,40.73363002658734,144.7306896396196,147.73016509377408,179.62582193167526,87.0830774933274,147.72058348919472,134.56589881119407,128.14329689090172,127.52895543397312,150.67296109818636,140.30183253218667,140.69115750731402,136.5084359305055,150.97467654553523,107.93846096902335,110.53386010652383,122.76712714680284,33.77290880969642,106.42987075835687,108.76411327057002,120.70321870915663,146.64998155314598,142.9223714092746,169.26459746090418,63.53829625828276,144.1783098659446,149.62190405829745,173.3655417699002,112.64778202496765,150.26790606994157,correct
45,151.01463929287988,177.6198448623997,71.14981378497822,151.03187270002513,154.90431602231402,178.4022028012428,102.1140881189652,154.9505549698176,142.4692311431615,142.70432494250792,128.64804320520878,156.35883291939436,147.39535549256215,152.7102430101901,138.4452449609283,155.76469914970153,107.26592345644445,109.04050801383491,125.56785825159618,170.15255631684005,104.59707900009504,106.01656433583112,121.76188894500999,8.959718971838473,149.59587147277892,171.14329346979352,64.12756677411858,150.73512438742785,155.95841257419744,173.91889019401296,110.40933840262622,156.6906783489874,correct
46,156.93078691074652,179.8805768690601,80.17529833401555,156.89441749499514,161.50809932176867,176.97962462995926,108.61437880876849,161.747151694049,149.8330304706282,152.88305691340267,130.01425987014105,161.13746887037252,153.65557680167706,160.71672680236043,139.91703316922715,159.85614740597134,106.2284608510744,107.36469047451213,128.53007026724683,0.8613556197488,102.76595611370398,103.56743009625265,123.34766253534038,177.8374642338507,155.85334712782338,172.68985482023567,65.42436682845565,156.89472906776132,161.87371448325226,174.6097973029776,108.97024434875118,162.667903153877,correct
47,162.00374788909713,177.86108924432872,81.98735855775803,162.10777596793866,166.95436561831954,175.49255545036212,105.24247657871125,167.73927569387118,156.41487132729145,160.5684347061793,131.72877082492943,164.82667649374295,158.85393653961756,166.09559480420725,140.36351337733885,163.3168724101172,104.87584556566574,105.53071043397532,132.10674278877173,161.341709611895,101.0299597782629,101.44640158625216,125.76447844879407,17.267508754492102,161.5550191464401,173.8433846830531,66.73665427336381,162.56681920238293,167.17060240651242,175.3170112875725,109.59256838912114,168.04158734940765,correct
48,166.048657898375,176.27884633170743,80.83642046290649,166.53173614769844,170.82575781409616,174.21505457198654,93.67372901339971,172.85728112789164,161.9643086034311,166.59000437490147,133.4520906919102,167.50225421573919,162.93399504267876,169.68602450900542,138.46974107021097,166.1600250179776,103.42000355073408,103.74588867537324,137.26055951101264,174.57129528814312,99.55875255455437,99.74880227959376,130.33364378158447,6.726600137928066,166.68946127333533,174.7438336398988,67.79350210998106,167.7489591274423,171.7267880137667,175.80782729133583,114.67553765230222,172.85911619050182,correct
49,168.9290623704655,175.1636390759989,79.12500781588822,170.01522390120851,172.69328379371058,173.29921453309043,66.49671136735653,177.07105354562594,166.10649947422857,171.2823082240999,134.06734704152615,169.12777582098403,165.72738556223325,172.09099556461342,131.8663753589633,168.0493307946503,102.04315923179998,102.16851420924627,145.74197757627414,81.64508877466795,98.34533004476955,98.41029777213551,139.57872753742015,97.1772264828389,171.09998268363324,175.38253903376065,66.56797368141342,172.38119870446133,175.14082767443,176.0299598209683,132.87303670720172,177.195243722418,correct
50,170.78377844811803,174.51234739854775,86.6737566106108,172.55899810210641,172.6425133903504,172.6591041374665,3.2284127443982187,179.5048253164142,168.66124933271297,174.8545719586395,131.88946492672858,169.86353584166375,167.39385737440148,173.93459211380573,115.94312519834655,168.9281400122741,100.91688843346446,100.94311198575856,160.0436969454459,85.98403983681271,97.21508183223747,97.22376766244962,158.72897015298116,92.82492733740276,174.3398332683823,175.71012717377954,53.72217571080801,176.30330985152318,175.97933805944643,176.12100995586655,167.94671689327689,178.93589507328355,correct
