id,name,x,y,z,visibility,frame
11,left shoulder,0.4927105009555816,-0.1044000461697578,0.0673007220029831,0.9999017119407654,0
12,right shoulder,0.4907506704330444,-0.0165267512202262,-0.165281742811203,0.9998487830162048,0
13,left elbow,0.5328077673912048,0.0316680781543254,0.1601347029209137,0.014768686145544,0
14,right elbow,0.3956220746040344,0.179246187210083,-0.2521098554134369,0.958322286605835,0
15,left wrist,0.6640236973762512,0.1336095035076141,0.2242422401905059,0.0610487312078475,0
16,right wrist,0.5942051410675049,0.1631421893835067,-0.2182851135730743,0.9386997222900392,0
23,left hip,0.0038956026546657,-0.0251572486013174,0.1093422845005989,0.9999776482582092,0
24,right hip,0.0034674522466957,0.0257925279438495,-0.1065318435430526,0.9999852776527404,0
25,left knee,-0.3771302998065948,0.0372114591300487,0.1766834557056427,0.1571102440357208,0
26,right knee,-0.3387757539749145,0.1095387265086174,-0.0917563214898109,0.9489420652389526,0
27,left ankle,-0.7077789306640625,-0.046306274831295,0.294979065656662,0.5195105671882629,0
28,right ankle,-0.7086049914360046,-0.0450293757021427,-0.0138263599947094,0.9655973315238952,0
29,left heel,-0.74673992395401,-0.0768460854887962,0.3195452690124511,0.7310059666633606,0
30,right heel,-0.7404309511184692,-0.0578622184693813,-0.0398728474974632,0.9057582020759584,0
31,left foot index,-0.7514377236366272,-0.0090885870158672,0.3515420258045196,0.6428206562995911,0
32,right foot index,-0.733454704284668,0.0465223975479602,-0.0683891028165817,0.9500166177749634,0
11,left shoulder,0.4897621273994446,-0.0929368287324905,0.0685503333806991,0.99990713596344,1
12,right shoulder,0.4905310869216919,-0.0027471599169075,-0.1676263064146042,0.9998574256896972,1
13,left elbow,0.5261279940605164,0.0736214816570282,0.1316308826208114,0.0276172421872615,1
14,right elbow,0.4078162610530853,0.1992696076631546,-0.225179523229599,0.9622647762298584,1
15,left wrist,0.6527156829833984,0.1764136105775833,0.1561553627252578,0.0913960114121437,1
16,right wrist,0.6001572012901306,0.1785494685173034,-0.1326730847358703,0.9443383812904358,1
23,left hip,0.0032529486343264,-0.0254829954355955,0.1105180606245994,0.9999787211418152,1
24,right hip,0.0042430544272065,0.0260788910090923,-0.1084606125950813,0.9999859929084778,1
25,left knee,-0.3762657344341278,0.034475915133953,0.1869698166847229,0.1812255084514618,1
26,right knee,-0.3312731385231018,0.1064604669809341,-0.0609203167259693,0.9530842900276184,1
27,left ankle,-0.7037647366523743,-0.0387955866754055,0.32545006275177,0.5478144288063049,1
28,right ankle,-0.7047243714332581,-0.0395615100860595,0.0418583899736404,0.968454897403717,1
29,left heel,-0.7420069575309753,-0.0658866167068481,0.3526323437690735,0.7508851289749146,1
30,right heel,-0.736976683139801,-0.0504625812172889,0.0188775453716516,0.9136022329330444,1
31,left foot index,-0.7430779933929443,0.0101488418877124,0.3865658342838287,0.6688441634178162,1
32,right foot index,-0.7144811153411865,0.0633420497179031,-0.0051007908768951,0.953993558883667,1
11,left shoulder,0.4896016418933868,-0.079284131526947,0.0708468854427337,0.9999135136604308,2
12,right shoulder,0.49542897939682,0.0081966714933514,-0.1690943390130996,0.9998666048049928,2
13,left elbow,0.5321081280708313,0.0982671976089477,0.1269930899143219,0.0496430099010467,2
14,right elbow,0.4307025372982025,0.2108667343854904,-0.2060261219739914,0.9658613801002502,2
15,left wrist,0.6643616557121277,0.1978510171175003,0.1581775546073913,0.1375700831413269,2
16,right wrist,0.6199107766151428,0.1923200190067291,-0.0915999189019203,0.9495858550071716,2
23,left hip,0.002536091953516,-0.0257203299552202,0.1112221181392669,0.9999799132347108,2
24,right hip,0.0051457257941365,0.0262440983206033,-0.1097619906067848,0.9999868273735046,2
25,left knee,-0.3720908761024475,0.0333770178258419,0.2190019786357879,0.2234350144863128,2
26,right knee,-0.3145569264888763,0.1049299910664558,-0.010226396843791,0.9573798775672911,2
27,left ankle,-0.6892547011375427,-0.0203218851238489,0.3894641101360321,0.5842100977897644,2
28,right ankle,-0.6879500150680542,-0.0259591322392225,0.1216181740164756,0.9714017510414124,2
29,left heel,-0.726463794708252,-0.044210210442543,0.4196481108665466,0.772423505783081,2
30,right heel,-0.7205962538719177,-0.0342853814363479,0.1017604619264602,0.9216215014457704,2
31,left foot index,-0.7269740700721741,0.0312655977904796,0.4540170133113861,0.6979824304580688,2
32,right foot index,-0.6919937133789062,0.0805166587233543,0.0831873789429664,0.9582071900367736,2
11,left shoulder,0.4896119832992553,-0.0701533034443855,0.0696250647306442,0.9999179840087892,3
12,right shoulder,0.4999159872531891,0.0169185530394315,-0.1693670451641082,0.999873697757721,3
13,left elbow,0.5385972261428833,0.0963388681411743,0.1259265094995498,0.058939442038536,3
14,right elbow,0.4344063103199005,0.2160738557577133,-0.2148375660181045,0.9688491225242616,3
15,left wrist,0.670434832572937,0.200292482972145,0.1551854610443115,0.1639567762613296,3
16,right wrist,0.6193109154701233,0.2062668055295944,-0.1461218148469925,0.9540674686431884,3
23,left hip,0.0022908214014023,-0.0257699508219957,0.1112828254699707,0.9999811053276062,3
24,right hip,0.0054063228890299,0.0262420941144227,-0.1098862513899803,0.9999876022338868,3
25,left knee,-0.3672359883785248,0.0348033979535102,0.2318211048841476,0.2567882835865021,3
26,right knee,-0.2960985600948334,0.1065482720732688,0.0133731933310627,0.9610577821731568,3
27,left ankle,-0.6763925552368164,-0.0009134362917393,0.417670726776123,0.6152265071868896,3
28,right ankle,-0.6745815873146057,-0.0054198396392166,0.175186425447464,0.9739533066749572,3
29,left heel,-0.7123984098434448,-0.0242733862251043,0.4499409198760986,0.7894729971885681,3
