frame,left_elbow_3D,left_elbow_pitch,left_elbow_roll,left_elbow_yaw,left_hip_3D,left_hip_pitch,left_hip_roll,left_hip_yaw,left_knee_3D,left_knee_pitch,left_knee_roll,left_knee_yaw,left_shoulder_3D,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,right_elbow_3D,right_elbow_pitch,right_elbow_roll,right_elbow_yaw,right_hip_3D,right_hip_pitch,right_hip_roll,right_hip_yaw,right_knee_3D,right_knee_pitch,right_knee_roll,right_knee_yaw,right_shoulder_3D,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw
1,156.2855359180731,166.73822397394883,159.96167635013205,84.18420194139823,174.89206645027195,176.64818452970928,176.0358150069884,176.9740425092023,166.56215054510776,177.2660498908967,166.70528243623818,166.48180021294644,107.73453449912707,97.60446830534481,132.453608401983,106.3482696842124,119.68691337258062,118.71151599661546,175.00849677774985,40.743902926393154,173.21466484871274,179.26706941508735,173.25291367639264,167.00359878020862,164.5021774433726,167.03903231136417,170.15418019473654,148.04779469677558,109.39003745440645,107.93810003947165,78.59758533748024,159.71214669729446
2,157.42987355991215,164.12235522131567,163.2909137992081,105.07569036618169,175.32368702288167,177.38403584530673,176.03483168342467,178.79691034027059,167.13387734089153,176.88921504418164,167.33719519371232,165.63785868840867,107.32379654496879,96.7216714119048,133.2758827484119,104.36863132541991,119.7578653190237,118.7232280447169,174.54491413235263,42.361426148210874,173.31778869786558,179.5057790896678,173.33355279068627,168.18782842675532,164.52354536071573,166.24928106288905,171.3114852249028,144.7302905566382,109.394607839269,107.82362702525556,78.5936666811492,159.77325904612343
3,156.66649976160326,163.80143490972594,162.5525155281546,102.41475104770865,175.5398445156353,177.0019555580709,176.58779776730242,177.51552673113602,167.18757552124165,176.84570273871265,167.39884278795438,167.7860493164361,107.87367301004473,97.18194894681278,133.97580019907045,105.51091349981218,119.62246258367433,118.51338251015343,173.15229822405138,45.011734554881365,173.06699305132042,179.46841157416682,173.08536167960105,168.42484474753272,164.84611175353317,166.17865996817272,172.04803564554868,144.6086969023058,109.64915765498569,108.02271972464926,78.55925351371509,160.1961344851544
4,156.11756478755024,163.09719523777335,162.4343952261136,100.65036926146279,175.52960109809598,176.76171228352854,176.79498897436028,175.74305516563186,166.80468652760663,176.77937469290814,167.01638668630292,168.41078638418085,108.03585439538008,97.29309881261344,134.31336587967422,105.6350171016122,119.49084411428984,118.35046912271714,172.93913597491232,45.54127266200091,172.96335604889939,179.4539820158712,172.98276848590834,168.6064272092937,164.9525454322624,166.34224067139232,171.971631897252,145.4241588710976,109.66861423873554,107.98594712803963,78.50380998987838,160.3490038707588
5,156.71793190061592,163.66067830512515,162.79597880834854,101.40992513125634,175.79229993274515,176.7041643095857,177.2535052901931,174.02706849607566,166.45727628987746,176.7104583177687,166.6691607749142,169.07797239497881,108.41116482295519,97.93056661588567,133.81818307741383,106.86845009385004,119.27274164070964,118.05817351607197,172.50356930555387,46.47596175761379,173.1267673084517,179.40635182420687,173.1508869653519,168.30760118400718,164.8079069476414,166.37633063327368,171.64253447236018,145.5190256420409,109.56480995970537,107.72000593034406,78.85315413493767,160.68208258009287
6,157.69573877375444,164.24426578173757,163.61209930094532,107.38794362369734,176.28547724028513,176.82665885475961,177.93166008172417,172.39831253962916,166.5315215123152,176.59518021945902,166.76662819712493,170.45847395714802,109.21906019535346,98.63792446119348,133.66071162543793,108.92302827607816,119.23672651604726,117.82133698139128,172.7156052308098,48.35466717834975,173.1241108969009,179.26145091758508,173.1628407537423,167.60529518467905,164.82182534967907,166.48350172324297,171.49489863568428,146.08632802204545,109.631770928999,107.32449397340666,80.0159316211459,161.42073705810014
7,157.08518211908165,163.2386136691292,163.61665486424724,112.87367509012093,176.59297273546272,176.8771394398818,178.48904079981767,170.95656932535294,166.3948451099625,176.58885051593955,166.6276090131168,170.40697542274518,110.71558679017245,99.03224641664163,134.88895309742657,111.93128871055899,118.73026095295991,117.27689874021314,173.1740498103478,47.546110799132265,174.00828087653113,179.19285870994267,174.06228908299812,167.5475917588924,164.42502983226905,166.66122529115756,170.5912382166137,145.87278514508074,109.58031503078574,107.21377411752304,80.76239318222855,160.66064561155903
8,157.75680315604862,164.3315791576955,163.56363531447,115.49418909485185,176.5190955251772,176.8057983949123,178.4646200884872,170.65089992056434,166.36429838036926,176.47879464446203,166.62044173940075,170.81963317777203,111.20639765187954,99.6250030263588,134.88607233996473,113.26449466236403,118.98254395022326,117.5487899975631,173.28092496013747,47.46824195366992,174.27339026721756,179.19919198681706,174.3291240641206,167.75728836053395,164.1604358916209,166.67580922069365,170.12033303558403,145.97297786203487,109.44853460828077,107.06291907097996,80.75135177887724,160.72574042282272
9,157.62943297722444,164.4650471536495,163.28045612033083,115.02663182344848,176.54331779135796,176.84345040403335,178.4395203990923,170.79578800307968,166.3678214153705,176.46534410775917,166.62663130421706,171.27757870200574,111.3337251239958,99.65922146507467,134.68755159039907,113.78123024555379,119.3169690914165,117.85187495020611,173.73446782739944,47.801934884620394,174.5547531922641,179.1968237503875,174.6139120779036,168.45492442929364,164.11134053856824,166.68788532514338,170.0180977285052,146.0948729793155,109.53765193702786,107.02507791949719,81.26463659641298,160.920718860923
10,157.39744588637026,164.35646085705042,163.11186236837975,112.36340876586893,177.03217058162772,177.2880946491018,178.66520384443837,171.87811709383237,166.77040965840897,176.66017505745947,167.00425966855605,171.27147344444188,111.91547054495915,100.37509751505982,134.16741331489345,115.36657708591775,119.45617491800562,117.96026241696411,174.35300082540755,47.73930411672227,174.48838864617738,179.18299136148738,174.54881482533483,168.14565905287992,163.97538706618207,166.47543200257283,170.04729655741548,145.59521481730485,109.3753782255642,106.68190326423215,81.73355965772588,160.62790716846933
11,156.90321345988426,164.2151842563262,162.59952246811451,108.60725544848772,177.16895087004264,177.4043690207558,178.74450626363128,172.05374455419147,166.78921953994666,176.61805676264643,167.03252129630673,171.66384738892384,111.81460944299124,100.3920119901673,133.708975935551,115.50854092411707,119.39345793319694,117.92915050990655,174.22443519551226,47.2978342509487,174.38879418721837,179.04374402784842,174.4705276223941,167.27284867357633,163.90112014827287,166.31876595514427,170.1013713704879,145.48678203437657,109.19117780518074,106.55669306937912,81.7184337606907,160.32574464354514
12,157.6341544114554,164.35086372230094,163.4235820914423,115.04330343184664,177.33594577485852,177.51574611235657,178.9099050957422,172.0378407810094,166.37851027301537,176.65442133422607,166.59703445736275,171.39306154001355,112.14903727262934,100.39961815741871,134.29627646464147,116.09507305085558,119.14356300324248,117.79421064612025,175.5252941874771,44.45203274939442,174.22807976841733,178.57673254440638,174.40572755015273,164.71546731809383,163.90730634148258,166.69429652920263,169.6067787292725,147.52177194655314,109.1200685491408,106.6082576898969,81.56491663073666,160.1888020649375
13,156.70774445586034,163.93678545167992,162.5373114794237,113.0849715383749,177.54711910948686,177.67489345385673,179.09252650842666,172.10827504734365,166.38945274555056,176.72754223814536,166.5961532292829,171.23564402380896,112.67890294596826,100.61212428529656,134.70499256063985,117.12726400859509,119.27156941744745,117.9727176731088,175.73432482719846,43.706234459972876,174.00802521395798,178.26439419238753,174.26352176333648,162.66381233670336,164.0162809780777,166.90681367730735,169.52216481962813,148.4476211474374,108.89408625656749,106.42911705019164,81.56878660201092,159.8581329378746
14,155.7201883731248,163.74219252290615,161.42705422562187,108.25439494590094,177.62464936637076,177.6520833375426,179.4581158087578,170.78668677720736,166.72961473782686,176.84473611044572,166.93214219783093,170.65995360552566,112.97073848220793,100.95931039512058,134.61980607942084,117.88940984105788,119.41003816907521,118.22574128875274,175.4863723784083,42.41508187040864,174.04007971094214,177.9754693504922,174.39203905036865,159.69897006928636,164.1853818329248,167.35892369160965,169.34086046212096,148.9995546503511,108.39265683108295,106.17704470954811,81.00424320655345,158.8947016386756
15,155.80931900944015,164.3571904830535,161.09800494809377,104.63799445461007,177.53553681676033,177.62207936324103,179.23333314498663,171.11359271703176,166.92359491628312,176.84690402224578,167.14120767294966,169.94535216497334,112.69157252078188,101.17654468161527,133.82894092642613,117.99950659257347,119.62682362112383,118.57877091605815,174.9529533173492,40.98289390709339,174.85059696123835,177.86402732297083,175.31142389017148,158.33246305390705,163.20438789595707,167.34786732681042,167.92210513744527,148.46482597179548,107.74984590689259,105.84174832148848,80.19874232961709,158.06439165610703
16,154.37348442548222,165.3931646899714,158.6273302570814,91.58695628260193,177.60513281842745,177.70572869057295,179.2046082221523,171.5347130122036,166.89716414884995,176.77404235834572,167.1283327986453,170.12783608395515,112.49392883330847,101.55621012947199,133.18604097090912,118.56331754524834,120.40583354321073,119.36486175997756,174.25913869179132,42.23406815885242,175.1759323586237,177.50195083603103,175.86756029792969,155.99126378628583,162.82778162682055,167.47243851287584,167.29164809956774,148.4300847091911,107.47723812857093,105.49372861154482,80.0396427387772,158.9367098398621
17,156.08273308571265,167.19353015283195,159.57881868465512,91.33541076942056,177.399808118973,177.5755437440332,178.95280356011904,171.51433224087614,166.05494374685637,176.19593329359066,166.37400121547634,172.27108419867048,111.89139204410691,101.93736198948675,132.04955700718565,118.66565647913954,120.77909290426416,119.78626451712248,173.5545380445642,42.48761003153967,175.41675056845065,177.33248244128356,176.26523758625294,155.84989620786385,162.4807771094434,167.27527446009336,166.97984666486303,147.79672886394349,107.14433141888291,105.20693078545861,79.45929696364158,159.71856284349067
18,156.75829358722294,167.4588058095724,160.2315636069689,90.90613952326599,177.57586769906868,177.694874728943,179.12981952493664,171.5574534805576,166.0947099672898,175.98680828162358,166.45823499486252,173.6720607609935,111.43301300551474,101.94104337291799,131.20064803296592,118.60947209921389,120.9174918089924,119.94358779244213,173.71123019666564,42.011536209200116,175.37920582010196,177.0738936758929,176.41277906894973,154.91038718318086,161.99222432400265,166.86180245579857,166.63342924323712,147.35870093566803,107.00258096100323,105.04961811656226,79.43997093613591,160.16694626727408
19,157.67819351988535,167.39231001300632,161.38541805833754,97.09030591802511,177.68941242733484,177.7643102777809,179.26837182173674,171.63990609308684,166.34812441553777,175.96601840068953,166.72281997937682,175.1285010593775,111.59276255942314,102.24588147155323,130.71025057725407,119.9966887085946,121.17368603735993,119.98909720103394,174.43042189409772,44.591490872556555,175.58392577585343,177.00141981980502,176.74261219606845,156.22189827826224,161.8545937677586,166.77357900201935,166.4963746672897,147.61113445095464,107.61284910643133,105.07722173367162,80.93734928889526,162.33040204307684
20,158.5397709288218,167.765095184362,162.20219537102014,95.45960462636393,177.04707199085493,177.43631403451928,178.40630635822404,172.2298065611464,166.42245227535665,175.4943617851055,166.92399258550236,178.29399518673947,111.1906187520947,102.775067219443,130.61446479975677,119.22559288661726,121.41768102964373,120.14780100208951,174.1638565884144,46.21161022401016,175.33043904068754,176.80767180237248,176.56995104498415,157.53475132435454,162.25017885543244,166.7421467583844,167.0146940485994,148.8263812737688,107.3650209818083,104.53225423851913,80.1806165738303,164.3225602355976
21,158.10588696236212,167.52151903578803,161.84780035264558,92.1271170273626,176.72793288260323,177.13072681001336,178.27342699961554,171.039663164218,166.23342449548443,175.3119213050827,166.78205095837606,179.92890534002728,111.30140115465251,103.18380918824789,130.48460065507751,119.91052965810745,121.45651321757104,120.00999322459246,173.4900303610867,49.009854438557056,174.85501714334416,176.61954232296793,176.09751482022887,157.2177957961832,162.72810115522887,166.80702413477954,167.59970592244065,149.6286895478055,107.38306167395855,104.16507283530996,80.60084023884967,165.9236105572308
22,158.1241933047808,167.29455912991116,162.02229679642645,94.92300200320364,176.47641756641812,177.04059293839995,177.94035782825247,171.18860123474468,166.35270393567146,175.1633522977481,166.95779598738523,179.247421399367,111.28845429370573,103.08539575959706,130.96036335207305,119.73969305727124,121.26906106295561,119.82489104132861,173.08661830774628,49.0183702231637,174.81595468087477,176.44995679862393,176.19409481164345,156.61685195776064,162.7764705620682,166.79987158935003,167.68353520138146,149.4531576991898,107.35999970526653,104.20090472763599,80.35550475019416,166.48857273698226
23,158.46398679384035,167.14465731813505,162.55159869507472,94.32684511399928,175.95406551047213,177.0899003432265,177.0841791201558,172.89309485092633,166.77172696974569,175.2417803846238,167.40584518348686,179.4725697329126,110.93897570529086,102.94462589622171,130.1856814447727,119.54754709726097,121.00305755418313,119.77990800363585,172.10410431506406,46.858497642100694,174.80262729260684,176.461268974505,176.16898766954168,155.47931246782605,162.79194502403809,166.80497710832657,167.7457661504654,148.6984944089392,106.80448004953244,104.15875611137879,79.44323170955815,164.44149394694134
24,158.47776834864845,166.73703410162918,162.8690573743357,94.97341980909314,176.05156768640092,177.23742947489112,177.08330226039604,173.59470446601645,166.79544534531635,175.39616075541898,167.38373631423755,178.67618501145495,110.81660322554693,102.82669497743522,129.93322233515892,119.48110537699162,120.81593654689358,119.6505022341165,172.5269971088111,45.3514127528575,174.72405331675316,176.41470885362676,176.10527499505196,154.92914650832623,162.77294206223252,166.82295640191475,167.70107576656653,148.76880617873468,106.68681806703532,104.15533168432779,79.35722265148316,163.96658224450638
25,158.12651202442993,166.1089899861209,162.8929643457407,96.56765481279028,176.19915503721873,177.23785873288847,177.29092524881503,173.13234660265857,166.57772633594547,175.3539279552666,167.16172981509766,178.75040751228107,110.8809814070346,102.55609426373218,130.36014826216726,118.99980582999154,120.50785324335398,119.33492789820396,172.5921089381011,44.96353965597656,174.58056544709316,176.42105344867954,175.90786492423555,154.80711453717365,162.8184884466826,166.79811732382524,167.77905166238463,148.91946802412306,106.66826778121622,104.1351836080775,79.45648381749783,163.80123205699155
26,158.29017531437643,166.31145295700526,162.9295430573279,99.61565641912735,176.5160563937972,177.35748185260795,177.6346167286195,172.94704058893674,166.5667084138092,175.40849745370312,167.13230359308116,178.44248433543038,111.10308058409734,102.40338120213876,130.81386544113948,118.95790906596334,120.34073110011268,119.30888086909206,173.53050820968414,41.83313930374045,174.32818839366954,176.30224270404872,175.6767709320731,153.56205608940434,162.87569387778967,166.89112931249875,167.763082389318,149.48729656687226,106.4003631858249,104.14551690132241,79.03850015449521,162.51839218516753
27,158.5452243419965,166.4423800661944,163.1453249972525,101.75550813151405,176.52720663094993,177.42049493912674,177.58473475661935,173.34712415257286,166.520217479817,175.4136980247098,167.0810827496339,178.18487265816196,111.16889692524337,102.34568761151291,131.15388593063665,118.67112474238306,120.16191566519477,119.11897192030357,173.56494745559272,41.76693205534175,174.20234756012803,176.20610359633346,175.59229960379562,152.93840162131102,162.81898335803783,166.8659235170439,167.69005411254906,149.78458459878343,106.41115311660941,104.13793002015,78.97541559683722,162.54491692755738
28,157.69086898297178,165.1930898691758,163.02081957244272,98.62165296274158,176.90085338800722,177.60934151823554,177.9460252206345,173.36508147957167,166.70616718172897,175.41593710771963,167.28052591314702,178.02763507525995,110.6344459211008,101.51309834006761,130.95781922415398,116.81400764475609,120.06863703149914,119.00869662174533,173.9348294491915,41.57486745174769,173.93945723482383,176.12593214483542,175.31693301147234,151.70690099838234,162.7756277638526,166.78636817814098,167.69219807981708,149.86989546543325,106.41106146540254,104.07137976624652,79.37862540872942,162.14312649247688
