frame,left_elbow_3D,left_elbow_pitch,left_elbow_roll,left_elbow_yaw,left_hip_3D,left_hip_pitch,left_hip_roll,left_hip_yaw,left_knee_3D,left_knee_pitch,left_knee_roll,left_knee_yaw,left_shoulder_3D,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,right_elbow_3D,right_elbow_pitch,right_elbow_roll,right_elbow_yaw,right_hip_3D,right_hip_pitch,right_hip_roll,right_hip_yaw,right_knee_3D,right_knee_pitch,right_knee_roll,right_knee_yaw,right_shoulder_3D,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw
1,147.68225253735633,150.5485145919557,164.15830834001932,85.55355462453224,176.74872040642435,176.75998112785194,179.5296501585519,160.72031297159705,168.7313025180935,174.71287584156462,169.86100604984705,176.66774003937374,110.39333658218315,97.98934342039553,136.4370998060086,103.58379846858794,115.13072307077665,113.19689265586261,179.4912354408201,46.616677896461184,175.30242319300274,178.69579986436352,175.48660949501172,156.73318966799656,162.98804822465667,166.62055733057224,168.5578671987264,140.11966266523038,110.35010875736211,106.4241961841891,82.21937070691955,156.96743932049142
2,145.34687434765237,146.9775368509461,165.2273351292883,87.51862548547557,176.95593680346215,176.99744614981003,179.43672582081055,157.07919750493855,168.60656206452745,174.52446659263012,169.808223223474,176.74697595567275,111.13011153602048,97.4980984040978,137.68384819615576,103.662874216112,116.41242619765644,114.18558476750705,178.81912863211636,51.501448574354555,174.64163005835707,178.5652785938609,174.8366476100064,153.74109987470516,163.99809850964766,166.71268953542065,170.12021271597982,139.72874261778003,111.39737819744445,106.69528162559872,84.36178027806892,155.95888877942508
3,142.54591902425744,144.26626648490415,164.33532166275432,78.87547029032979,177.13090524758854,177.33070056961057,178.9302400061399,156.58517568519414,169.008080380609,174.45198282731045,170.30692329702129,175.20237605235135,110.05403567548824,96.24115821363755,136.72119427552167,101.24420660654718,115.88956791410651,113.52869531384957,176.5518641648507,51.922813257918065,174.18644682380045,178.41538876037103,174.40579632839697,151.54013435836686,164.09202532846848,166.49949569006333,170.54811866283316,139.62765523761956,112.20428833819027,106.74391817922645,86.42086465797134,156.0519130351612
4,141.35313647549432,143.3808797314929,163.61048941833647,73.950140134921,177.3547860923066,177.89645848585474,178.39242687018532,157.0821602727639,169.26916227926577,174.46989401538002,170.6020479253573,174.47224223760358,110.63705040010703,97.09925492149777,135.79147239402792,102.26288666482473,115.63524147988794,113.3551240508188,176.410627352475,50.8368041354207,173.73196049398763,177.95037751761873,174.07531197807148,147.01305688641472,164.74558737944,166.48161780546465,171.83266537726942,139.05225252514683,111.42513855480908,105.83588732052439,86.58117093911706,154.12849040655576
5,142.24708220090116,143.57643392808964,164.57830114822522,84.05988048199843,177.47606054702663,178.0708674060829,178.36932115172888,158.4724843111368,168.89447009874638,174.1764799337936,170.32197297256766,173.29869039210493,112.35566840565477,97.40441078336406,137.20438439355212,106.05386862288148,115.12787454109821,112.8108522488198,175.29422756693822,50.493950016253585,173.44149743728417,177.6316533002404,173.88205723161116,145.09416887453537,164.90680922520338,166.2538584215024,172.55476587915993,138.7994172418434,111.76807522702428,105.74682893832973,87.9161666444174,154.03980135782555
6,142.11786866629743,143.84365052020524,163.944399730061,79.98807852941495,177.55519157456067,178.2911333146164,178.24997160571087,159.0207576690114,168.68302678365112,173.95627824698394,170.19834292839386,172.6707229823828,111.85477746196912,97.22362087886559,136.2537637924513,105.0659359144658,114.765280492091,112.5776018352657,174.99213427065126,48.82798017820961,173.1256952673155,177.33521802816585,173.66023928142477,142.5295847324955,164.71633062495155,166.13005694261616,172.3176458311418,139.92807105001498,111.19687650131796,105.11790018513634,87.8176452330305,153.11811203780985
7,142.20540850222852,144.23444963955387,163.43714066601794,79.23091453324706,177.47417510676632,178.15513677778603,178.2722938902384,158.57180496573704,167.8641465267056,173.97676716520874,169.2229023882019,173.73312722369536,112.03023275129671,97.40564390341011,135.9260291012272,105.83655331859936,114.67842315266051,112.70203864727775,174.36662346468097,46.77858662566746,172.68364708680812,177.29558191214542,173.19847575137547,144.03772014202582,165.23201108232468,166.1273831590186,173.47745926139336,139.6255278731384,111.03783900941204,105.17409464480349,87.72983830873693,152.64816398031923
8,140.21119469977958,142.9288637936252,162.1665231878434,69.06537373400504,177.1548306219365,177.98169720961673,177.99053551038725,159.33676497963617,167.37921981721576,173.95031167167468,168.65374004733917,173.0747909019172,111.2552128621388,97.84348590505287,134.37448687353694,104.56061372570903,114.36381379020708,112.42647572577386,174.75198999559333,45.90799644915511,172.75362715780835,177.38631745919756,173.23802839392113,148.35632779842973,165.33089926210363,166.04219600111227,173.85193723769262,139.789779941206,110.73917463519699,105.01275319871625,87.25754384119345,152.72399660547876
9,140.43323256476904,143.98516907085923,161.01814617669908,63.89926191680822,176.6824550286933,177.84125409980282,177.4753273304928,160.52528203565552,166.77234203225697,173.9317800946756,167.93874551351976,172.66560186078786,111.12745108129499,98.67303928235857,133.5361427029319,104.48407126297471,114.25520225420641,112.3969922082833,175.52610553485354,44.836994232814085,172.4535849547417,177.3801247807306,172.91899633909748,151.53288147565516,165.38230018453459,166.0581601439124,173.77234042182906,141.87032203290167,110.26454025950733,104.9264288106876,86.26574181653586,152.47409599463901
10,140.2134722870292,143.72390429345575,160.94342666823138,66.18426164909441,176.37023752148042,177.76633872768622,177.13235849991216,161.37347655778314,166.50714511072638,173.8904545069824,167.63463043490486,172.46538731596758,111.3317000314637,98.53242910245466,134.09864711220098,105.16847006173029,114.28538621494602,112.30145998167579,176.63925134306385,45.91048022530932,171.74921763062497,177.2082494389531,172.23079046757195,152.01649893127316,165.37878960513174,166.1094175769209,173.42844520678636,144.49154564239572,110.16842332955997,104.82971903268417,86.06828171950394,153.24705925466023
