frame,left_elbow_3D,left_elbow_pitch,left_elbow_roll,left_elbow_yaw,left_hip_3D,left_hip_pitch,left_hip_roll,left_hip_yaw,left_knee_3D,left_knee_pitch,left_knee_roll,left_knee_yaw,left_shoulder_3D,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,right_elbow_3D,right_elbow_pitch,right_elbow_roll,right_elbow_yaw,right_hip_3D,right_hip_pitch,right_hip_roll,right_hip_yaw,right_knee_3D,right_knee_pitch,right_knee_roll,right_knee_yaw,right_shoulder_3D,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw
1,136.02664953319237,111.84370913647682,163.7369977663796,138.6086657189468,175.78899944535047,177.6445738462874,176.50132066938912,158.40158015858768,161.5722821696613,173.5046909848862,162.44342878835604,169.86002526942767,169.5478391737332,171.53791731198848,169.61811335226957,171.82933737561606,67.80957096270797,22.098622811869483,67.10946390095033,140.1108125729291,170.0648365052388,170.09104316085222,179.22977509005477,31.987450895236673,159.25967498720186,164.6502188459767,165.07378615492175,157.26754242131744,127.80077443567467,117.44592991547616,126.89569656292653,159.0165898502767
2,83.53162272511449,95.36594873410893,26.906334367920717,111.22123604193573,176.3832507424608,177.89064385833333,177.058178929601,155.3141156205654,159.6356751946734,174.13161965519777,160.24570823655154,173.53957491636373,154.92457268849947,150.24216810938537,142.6496284203203,175.6000828507349,79.7545416979702,26.290145099067736,79.96805205858415,141.4157526567457,169.61581621638743,169.69029326270868,178.74915880771462,25.59979249899331,158.29312557044227,164.27648438165258,164.15750924806883,117.65334376358136,130.09490177647336,119.00648285785218,128.5678764680686,156.58071484424386
3,81.80807541341316,89.53739741111052,5.797585914447314,119.92396924100217,176.98069693987597,178.25546019289683,177.5342108850123,154.72830792829598,158.13825276146792,174.38508595806798,158.6311437729066,177.46264149038493,147.76424826946084,145.69611130618947,127.20374922725655,174.6730897580265,77.68149915742632,23.896979160021225,78.37374941478248,139.6657319427489,169.2812897630903,169.35515343245615,178.70040971216875,51.26411520957545,156.896706737855,164.09015051768444,162.34053747396013,99.6738765982992,127.799475491801,116.43512056053719,125.45408405950464,154.78669531421602
4,129.54872417071584,118.1608105798656,110.0441111769772,175.6344834178867,177.47635337270557,178.848285855741,177.75425417146806,161.65053420907697,157.20609004955392,174.88598382177227,157.5497864991803,177.5190673616562,164.02466822037957,164.14790913424665,164.48466826136243,168.81927263188064,78.03157170552161,24.256238280116374,78.75456983279352,141.20807697363225,169.32823797197926,169.4690942676302,178.24931535799288,45.93833472427098,156.97463131572584,164.19345191526554,162.35633793605845,100.09421984533545,128.5778263170118,116.59804067300655,127.65423117766437,153.373472056095
5,129.91383652832678,125.46372307396723,102.36465080976785,167.5078407824596,177.01439673598696,178.7505252560118,177.28823227022502,158.1739895538033,157.37297980556482,174.8273368629975,157.7271650263419,177.4697166397415,169.39526594144218,169.6509348790509,168.32189325544084,172.93985872268817,78.41320204678632,24.75067080302672,79.09327542579975,142.27133196961398,169.57183501477374,169.64344171199505,178.74784741897724,47.95699123072822,156.96581332541388,164.02891801299953,162.48842057251287,101.14777311548404,128.65456895448494,116.47754309538037,128.33519683727357,152.31258657103777
6,136.2879087822424,121.76349536365584,123.30309711171846,176.38141522952657,176.96442212032713,178.8464163815726,177.19198424350924,159.55755962660578,156.5753190772512,174.9701146766983,156.8756226231652,176.6301944041884,161.79746830871628,167.71480601963185,171.65558204775655,163.33797082087136,79.27729856830236,22.709513525653197,80.56528739038686,141.64046597258152,169.58678359043876,169.7007495065563,178.4385134370211,47.85098671786202,156.96622801533906,164.1412120457811,162.39574149171884,99.61395769883754,128.55200036359267,115.64104280752811,129.23839208188696,150.96935361871166
7,118.88621998766415,113.78508073578719,90.25078454675158,159.2711909922396,176.8068492394235,178.79491894454108,177.04277284263344,157.9455394903517,156.579681215052,174.88912596584382,156.89850501212706,177.3752636109331,163.4924583332295,162.0107683020735,163.52773600399797,169.4973408752629,80.50202348845978,22.770447541683957,81.61578540905407,143.26529407351896,169.49832392835035,169.73712771198808,177.7515601328828,49.758677600334956,157.37556396464387,164.07848166069834,163.08709904664678,97.79135751970804,127.80044125639839,113.855213598296,127.26578392285958,152.11252076255556
8,117.10625867169199,111.01549076862045,85.10831070106279,162.913786872119,176.5177587238039,178.69230110711746,176.7723566038574,155.36453050617158,156.991435977009,174.87382310679368,157.32838327398338,178.09418823859247,162.8635041832048,159.36058870842083,158.31561582039825,173.41209520560358,79.79805949120113,22.444749475245114,80.77088860332611,143.4152951866467,169.47989140314516,169.9008750203368,177.03080664622343,54.9990160280279,157.19599941496662,163.97464018806838,162.96842182644016,92.50683673604625,126.87932150314569,112.40790502439673,125.21815830904184,153.1646907100131
9,110.17501090705153,108.28061408614607,69.765884228359,153.27740509994956,176.46140700148405,178.6346503681283,176.73513102820002,154.34457356115962,157.52340098039048,174.82493646567934,157.8875816029102,178.65879769817752,161.43765572718385,157.44480566609468,155.16907944987594,174.7875505499737,79.04737523828113,22.477836507863778,79.87494110187761,143.5412079540433,169.61374448965583,170.05228349917257,176.99098827417532,56.89556954571047,156.98264230525135,163.89379347979244,162.74034953278476,90.64970185491146,126.35614563408483,111.8134389178672,124.21105985876696,153.53945707370846
10,106.7956730235107,106.31141335715157,63.585693154732795,150.04443906854655,176.5362296705172,178.5662531589419,176.84658584464435,154.5680181816941,157.85285049556444,174.87728145409793,158.22077390684532,178.90334675346773,161.1546051232662,157.1720683611159,154.06849651764443,175.6114380922713,78.64169359829337,22.941221742910066,79.36855517126466,143.39642837502612,169.58170979814474,170.18031392546007,176.4950674353928,60.790418956135994,156.89597298777724,163.82877435574116,162.7129916187441,87.29265188606627,126.29292391294689,111.89880428556964,123.77314162468802,153.85656225666006
