frame,left_knee,right_knee,left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip
0,157.54592554292702,164.91011350899652,87.74008638722886,78.68229978330672,99.49557257986697,123.31044266824276,164.5265030707914,164.20934835954424
1,160.6318211356985,164.54783464429028,86.80193628197732,82.67984029220435,100.6299512932773,124.38617110324797,169.96380743840805,163.43586292097842
2,157.01520872924272,160.5836754294116,82.15188643179921,83.92323845817783,101.28738961166144,125.19743446955664,171.03136220236294,165.60137816219617
3,146.20016172984748,160.6928506396559,80.56718135092855,83.15653689967031,104.59305212566167,126.61211155632078,162.06538898869786,165.85562525065123
4,130.54335445022488,155.96843631326763,80.2910868162127,84.71215826214974,105.31169066837938,129.13467767243418,142.72677883478013,165.81274761517258
5,118.37401695452496,147.07093941267692,82.69052672639292,84.45904881777906,105.19867233046469,130.70431398536476,128.51022723372643,151.9663138547997
6,108.88646926140233,128.2607878457583,80.13806100009869,81.93105703237607,105.44419405200573,129.93324496370184,111.12649396345998,130.86829720790968
7,92.55344773560184,97.33300951779917,89.11526829070274,82.2303864513974,107.57184345614438,134.72364879245802,90.5103249361158,105.535068847884
8,78.54896187784391,81.42400103951549,93.2621609308344,78.51249983760616,107.8579149819961,139.8643374984678,73.75389206620238,81.26940403754203
9,69.41320265142177,71.49733277030376,96.86851632990488,85.16211572612718,102.91658688349843,142.33489104116458,62.360937480647145,63.66321360092387
10,58.70098769912179,61.449976021745606,94.55215332544391,73.95831658943997,104.86589802391177,140.64426725457025,59.76541315350617,55.22838157455899
11,58.91314632174432,57.77226302749226,100.65127158772908,68.53154744094567,101.50885840102231,139.55826146515477,57.15531206212054,50.3154559100213
12,60.84858125691302,57.71210087853212,99.6984121564058,71.97656869915342,108.60511080115963,136.99271424543076,61.93357005987456,55.656577422683895
13,66.87655997726348,71.11687507125836,97.95135125983143,75.32054527222644,110.07965033504325,139.83151778595908,65.51130805836213,63.03582383770885
14,75.73253652890925,83.37639294262324,94.63027074206946,73.85897099620806,109.95440504599102,139.9514749327923,69.85112305618566,76.13504015098025
15,86.48684841266326,102.55246522586465,93.02099866792696,69.9101066831298,112.81749653900117,141.04373939912676,82.42726152247931,96.96422545652068
16,98.50482026269316,139.8063281905336,96.11485778569481,64.65012631313884,113.61015363217525,136.5017226267159,99.04907248472365,142.9031253605594
17,115.86881342604086,159.8481019932088,84.01189298302813,71.56856892052464,108.30674379819473,137.6458110267169,121.23097187508787,163.59288539294505
18,139.58969086406995,164.21329050582366,81.98097683267825,83.06708237245556,98.71152855061425,132.19027340271245,141.43739304370692,169.19721515890228
19,159.52645686167688,167.02388225823805,86.41650593480908,82.15492825653128,92.4717083579813,129.58186914254665,159.59515582954555,171.68597905931185
20,162.21592361765454,159.3129474600129,83.44061593934141,70.54670627757474,91.87819401018854,125.34984922446009,166.6361049692992,165.05076133352512
21,158.06260282846975,161.21745051046054,88.93730823351876,75.92128842347248,96.68996435693742,128.94740718771428,168.9624460177798,165.49118698827002
22,161.07024015409897,165.07076384270778,66.90665430943963,78.86530575799088,106.93463835442348,130.22061977310997,172.6883029440931,168.5094742992924
23,160.8755717245539,163.03696610625056,72.14157508355038,83.84845326950901,105.75399219858302,129.63598087322723,172.9390872628235,166.95081779302456
