id,name,x,y,z,visibility
11,left shoulder,0.10635188966989517,-0.5079416632652283,0.030778851360082626,0.9999571442604065
12,right shoulder,-0.12636172771453857,-0.5239139199256897,-0.12398471683263779,0.9999447464942932
13,left elbow,0.24179041385650635,-0.5084340572357178,0.1809982806444168,0.4068599343299866
14,right elbow,-0.24773839116096497,-0.3232170343399048,-0.2506304681301117,0.9681585431098938
15,left wrist,0.34454551339149475,-0.5659500360488892,0.3193727135658264,0.7803221344947815
16,right wrist,-0.22108671069145203,-0.47252321243286133,-0.3798770010471344,0.9738185405731201
23,left hip,0.06447383761405945,-0.004458189010620117,0.09472690522670746,0.9999274015426636
24,right hip,-0.06275277584791183,-0.001616826979443431,-0.0925116091966629,0.9999476671218872
25,left knee,0.05481237545609474,0.37384453415870667,0.17144913971424103,0.3506873846054077
26,right knee,-0.08793555200099945,0.3208993673324585,-0.12779206037521362,0.9618197083473206
27,left ankle,0.029309630393981934,0.6929288506507874,0.3691898584365845,0.7748482823371887
28,right ankle,-0.2340906262397766,0.701355516910553,-0.037493232637643814,0.9887169599533081
29,left heel,0.009409872815012932,0.728843092918396,0.3958173394203186,0.7701560854911804
30,right heel,-0.24716487526893616,0.7322705388069153,-0.06418679654598236,0.8920493721961975
31,left foot index,0.09844493120908737,0.7424112558364868,0.3761163651943207,0.8651435971260071
32,right foot index,-0.16333164274692535,0.7663225531578064,-0.16513271629810333,0.9828063249588013
11,left shoulder,0.11369045823812485,-0.5134713053703308,0.03101295419037342,0.9999537467956543
12,right shoulder,-0.12639348208904266,-0.5297061800956726,-0.10905531793832779,0.9999458193778992
13,left elbow,0.26180529594421387,-0.5314283967018127,0.18191592395305634,0.3923899829387665
14,right elbow,-0.2619863748550415,-0.3525965213775635,-0.25426968932151794,0.9694247245788574
15,left wrist,0.36522042751312256,-0.601139485836029,0.3017117381095886,0.7608246803283691
16,right wrist,-0.24827496707439423,-0.5088610649108887,-0.3827515244483948,0.9752834439277649
23,left hip,0.0657355934381485,-0.0049530877731740475,0.09462305158376694,0.9999274015426636
24,right hip,-0.0641370490193367,-0.0011719361646100879,-0.09215203672647476,0.9999480843544006
25,left knee,0.05097527801990509,0.37224605679512024,0.16852234303951263,0.34641242027282715
26,right knee,-0.08953869342803955,0.3215911090373993,-0.12988725304603577,0.9616283774375916
27,left ankle,0.028780952095985413,0.6932486891746521,0.37075626850128174,0.774702787399292
28,right ankle,-0.24158097803592682,0.7020954489707947,-0.04314591363072395,0.9888187050819397
29,left heel,0.008292358368635178,0.7294746041297913,0.3977806568145752,0.7755022644996643
30,right heel,-0.25608938932418823,0.7331429123878479,-0.06946145743131638,0.8929901719093323
31,left foot index,0.098160021007061,0.7431628108024597,0.3771548867225647,0.8674889802932739
32,right foot index,-0.17175257205963135,0.7719096541404724,-0.16903752088546753,0.9832115173339844
11,left shoulder,0.11635155230760574,-0.5144319534301758,0.030159136280417442,0.9999520778656006
12,right shoulder,-0.12612707912921906,-0.5313153862953186,-0.10558716207742691,0.9999474287033081
13,left elbow,0.2630734145641327,-0.5204866528511047,0.17486657202243805,0.38576629757881165
14,right elbow,-0.266918420791626,-0.34768131375312805,-0.25768521428108215,0.9711316227912903
15,left wrist,0.3747609853744507,-0.595255434513092,0.28709718585014343,0.7557167410850525
16,right wrist,-0.24745188653469086,-0.5009714365005493,-0.3887259364128113,0.9770638346672058
23,left hip,0.06659650057554245,-0.005293186753988266,0.09453034400939941,0.9999277591705322
24,right hip,-0.06508095562458038,-0.000877748301718384,-0.09190680086612701,0.9999486207962036
25,left knee,0.05116584524512291,0.37221118807792664,0.16394147276878357,0.34998762607574463
26,right knee,-0.09098175168037415,0.3233136236667633,-0.13031330704689026,0.962614119052887
27,left ankle,0.028788723051548004,0.6957217454910278,0.3713347911834717,0.7808082103729248
28,right ankle,-0.2421359419822693,0.7025202512741089,-0.045365747064352036,0.9891658425331116
29,left heel,0.008017994463443756,0.7322980761528015,0.3985203802585602,0.7847059965133667
30,right heel,-0.25610825419425964,0.7336921691894531,-0.07241055369377136,0.8961061239242554
