id,name,x,y,z,visibility
11,left shoulder,0.11997804045677185,-0.4586394131183624,0.003191926283761859,0.9999011754989624
12,right shoulder,-0.09956150501966476,-0.5402493476867676,-0.15260712802410126,0.9999935030937195
13,left elbow,0.09206036478281021,-0.22736337780952454,0.0907645896077156,0.04760020971298218
14,right elbow,-0.2594318985939026,-0.27297243475914,-0.22450296580791473,0.9944885969161987
15,left wrist,0.14394859969615936,0.017146440222859383,0.10928542912006378,0.06908947974443436
16,right wrist,-0.14594808220863342,-0.1424427181482315,-0.2825777530670166,0.979193925857544
23,left hip,0.06147000566124916,0.00645082863047719,0.09378962963819504,0.999976634979248
24,right hip,-0.05972468852996826,-0.010318305343389511,-0.0922725722193718,0.9999872446060181
25,left knee,0.04104567691683769,0.40664583444595337,0.1652601957321167,0.7835401296615601
26,right knee,-0.054721102118492126,0.3267897665500641,-0.022037075832486153,0.9728491902351379
27,left ankle,0.003010191023349762,0.7427810430526733,0.3145940899848938,0.9553073048591614
28,right ankle,-0.12999464571475983,0.711482584476471,0.14668355882167816,0.9712912440299988
29,left heel,-0.015260396525263786,0.7812070250511169,0.3358307480812073,0.9338968396186829
30,right heel,-0.13050781190395355,0.7442408204078674,0.12199810147285461,0.8511025309562683
31,left foot index,0.07681777328252792,0.8034135699272156,0.3022300601005554,0.9741129279136658
32,right foot index,-0.048745326697826385,0.7646369934082031,0.02134251594543457,0.9647847414016724
11,left shoulder,0.11056815087795258,-0.4596055746078491,0.003087432589381933,0.9999080300331116
12,right shoulder,-0.1079660952091217,-0.5374636650085449,-0.15856006741523743,0.9999934434890747
13,left elbow,0.09072981774806976,-0.2286399006843567,0.08992043882608414,0.052859216928482056
14,right elbow,-0.2598923146724701,-0.2681303024291992,-0.22725801169872284,0.9945452213287354
15,left wrist,0.1404443234205246,0.0008573225932195783,0.10839201509952545,0.07791701704263687
16,right wrist,-0.14620201289653778,-0.14113418757915497,-0.2797013223171234,0.9796497225761414
23,left hip,0.061726175248622894,0.006227022968232632,0.09352761507034302,0.9999774694442749
24,right hip,-0.05999525636434555,-0.010104950517416,-0.092031329870224,0.9999877214431763
25,left knee,0.0427665151655674,0.4063630700111389,0.16564293205738068,0.7886606454849243
26,right knee,-0.05289963632822037,0.3274632394313812,-0.023946039378643036,0.9738568663597107
27,left ankle,0.003544658189639449,0.7421504855155945,0.31376394629478455,0.9574996829032898
28,right ankle,-0.12894070148468018,0.7126227021217346,0.14685237407684326,0.9735347628593445
29,left heel,-0.014922301284968853,0.7805285453796387,0.33481356501579285,0.9355877637863159
30,right heel,-0.12999366223812103,0.7456411123275757,0.1224830150604248,0.8586677312850952
31,left foot index,0.07740673422813416,0.8047479391098022,0.2999890446662903,0.9752832651138306
32,right foot index,-0.05031440779566765,0.7666355967521667,0.02308514155447483,0.9672825336456299
11,left shoulder,0.10531391948461533,-0.4599168002605438,0.012136013247072697,0.9999122023582458
12,right shoulder,-0.10850802063941956,-0.5379087328910828,-0.15132741630077362,0.9999933242797852
13,left elbow,0.09028443694114685,-0.22892707586288452,0.09583777189254761,0.05445379763841629
14,right elbow,-0.26178187131881714,-0.267306923866272,-0.2200341671705246,0.9944986701011658
15,left wrist,0.14027048647403717,-0.0011027861619368196,0.11395217478275299,0.08010207861661911
16,right wrist,-0.14653731882572174,-0.14080937206745148,-0.2629518210887909,0.9795936346054077
23,left hip,0.061683882027864456,0.006208319682627916,0.09355758130550385,0.9999776482582092
24,right hip,-0.05992158129811287,-0.010083735920488834,-0.09208310395479202,0.9999879002571106
25,left knee,0.04396112635731697,0.40786585211753845,0.15677383542060852,0.7816138863563538
26,right knee,-0.051499269902706146,0.32785189151763916,-0.04812881723046303,0.973931074142456
27,left ankle,0.004191465210169554,0.7463691234588623,0.2952897548675537,0.9567763209342957
28,right ankle,-0.1285800039768219,0.7145588994026184,0.10915342718362808,0.9751673340797424
29,left heel,-0.0144246406853199,0.7850644588470459,0.31489652395248413,0.9331756234169006
30,right heel,-0.13032473623752594,0.7477766275405884,0.08389635384082794,0.8621978163719177
31,left foot index,0.07799243181943893,0.8078515529632568,0.28044724464416504,0.97487872838974
32,right foot index,-0.04811370000243187,0.7675188183784485,-0.010161700658500195,0.9690176248550415
11,left shoulder,0.10482896864414215,-0.4595321714878082,0.013706493191421032,0.9999178647994995
12,right shoulder,-0.10907679051160812,-0.5382269024848938,-0.14570960402488708,0.9999933242797852
13,left elbow,0.09459743648767471,-0.22537761926651,0.09706771373748779,0.06153646484017372
14,right elbow,-0.2625534236431122,-0.2663693428039551,-0.21881790459156036,0.994377076625824
15,left wrist,0.14671407639980316,0.01935931108891964,0.11439087986946106,0.09042467921972275
16,right wrist,-0.14652250707149506,-0.14007419347763062,-0.26494652032852173,0.9798336029052734
23,left hip,0.061674777418375015,0.006190781481564045,0.09353727847337723,0.9999778866767883
24,right hip,-0.05989445000886917,-0.010071806609630585,-0.09206826984882355,0.9999879598617554
25,left knee,0.04470869153738022,0.4081323742866516,0.14983242750167847,0.7716127634048462
26,right knee,-0.05026684328913689,0.328620970249176,-0.060874857008457184,0.9734665751457214
27,left ankle,0.004653443116694689,0.7463921904563904,0.28272315859794617,0.9547019600868225
28,right ankle,-0.129184752702713,0.715172529220581,0.08846747875213623,0.9763545989990234
29,left heel,-0.014055298641324043,0.7850266098976135,0.30179086327552795,0.9289932250976562
30,right heel,-0.13122954964637756,0.7481271028518677,0.06251488626003265,0.8628399968147278
31,left foot index,0.07848124951124191,0.806671679019928,0.26771998405456543,0.9739515781402588
